<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
Tobramycin; Nebramycin factor 6; 3'-Deoxykanamycin B	C00397
Tryptamine; 3-(2-Aminoethyl)indole	C00398
Ubiquinone; Coenzyme Q; CoQ; Q	C00399
(-)-Menthol; L-Menthol	C00400
D-Aspartate; D-Aspartic acid	C00402
Polyphosphate; (Phosphate)n; (Phosphate)n+1; (Phosphate)n-1; (Polyphosphate)n; (Polyphosphate)n-1	C00404
D-Amino acid	C00405
Feruloyl-CoA; trans-Feruloyl-CoA	C00406
L-Isoleucine; 2-Amino-3-methylvaleric acid	C00407
L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carboxylic acid	C00408
Methanethiol; Methylmercaptan	C00409
Progesterone; 4-Pregnene-3,20-dione	C00410
Sinapoyl-CoA	C00411
Stearoyl-CoA; Stearyl-CoA; Stearyl coenzyme A	C00412
Streptomycin	C00413
Cyclohexanone	C00414
Dihydrofolate; Dihydrofolic acid; 7,8-Dihydrofolate; 7,8-Dihydrofolic acid; 7,8-Dihydropteroylglutamate	C00415
Phosphatidate; Phosphatidic acid; 1,2-Diacyl-sn-glycerol 3-phosphate; 3-sn-Phosphatidate	C00416
cis-Aconitate; cis-Aconitic acid	C00417
(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid	C00418
Polynucleotide	C00419
Triacylglycerol; Triglyceride	C00422
trans-Cinnamate; trans-Cinnamic acid; (E)-Cinnamate; (2E)-3-Phenylprop-2-enoate	C00423
(S)-Lactaldehyde; L-Lactaldehyde; L-2-Hydroxypropionaldehyde	C00424
Prostaglandin H2; (5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate; PGH2; (5Z,9alpha,11alpha,13E,15S)-9,11-Epidioxy-15-hydroxy-prosta-5,13-dienoate	C00427
5,6-Dihydrouracil; Dihydro-2,4(1H,3H)-pyrimidinedione; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,4-dihydroxypyrimidine; Hydrouracil; 2,4-Dioxotetrahydropyrimidine	C00429
5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid	C00430
5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid	C00431
2,5-Dioxopentanoate; 2-Oxoglutarate semialdehyde	C00433
Oxidized rubredoxin	C00435
N-Carbamoylputrescine	C00436
N-Acetylornithine; N2-Acetyl-L-ornithine	C00437
N-Carbamoyl-L-aspartate	C00438
N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate	C00439
5-Methyltetrahydrofolate	C00440
L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	C00441
5,10-Methenyltetrahydrofolate	C00445
alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate	C00446
Sedoheptulose 1,7-bisphosphate; D-Sedoheptulose 1,7-bisphosphate; D-altro-Heptulose 1,7-biphosphate	C00447
trans,trans-Farnesyl diphosphate; Farnesyl diphosphate; Farnesyl pyrophosphate; 2-trans,6-trans-Farnesyl diphosphate; (2E,6E)-Farnesyl diphosphate	C00448
N6-(L-1,3-Dicarboxypropyl)-L-lysine; Saccharopine; L-Saccharopine; N-[(S)-5-Amino-5-carboxypentyl]-L-glutamic acid	C00449
(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate; Delta1-Piperideine-6-L-carboxylate	C00450
(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate; D-threo-Isocitric acid	C00451
NDP; Nucleoside diphosphate; Nucleoside 5'-diphosphate	C00454
Nicotinamide D-ribonucleotide; NMN; Nicotinamide mononucleotide; Nicotinamide ribonucleotide; Nicotinamide nucleotide; beta-Nicotinamide D-ribonucleotide; beta-Nicotinamide ribonucleotide; beta-Nicotinamide mononucleotide	C00455
dCTP; Deoxycytidine 5'-triphosphate; Deoxycytidine triphosphate; 2'-Deoxycytidine 5'-triphosphate	C00458
dTTP; Deoxythymidine triphosphate; Deoxythymidine 5'-triphosphate; TTP	C00459
dUTP; 2'-Deoxyuridine 5'-triphosphate	C00460
Chitin; beta-1,4-Poly-N-acetyl-D-glucosamine; [1,4-(N-Acetyl-beta-D-glucosaminyl)]n; [1,4-(N-Acetyl-beta-D-glucosaminyl)]n+1	C00461
Halide; Hydrogen halide; HX; Halo acid	C00462
Indole; 2,3-Benzopyrrole	C00463
Mannan; Mannoglycan	C00464
Acetoin; 2-Acetoin; 3-Hydroxybutan-2-one; 3-Hydroxy-2-butanone; Dimethylketol	C00466
Estrone; 3-Hydroxy-1,3,5(10)-estratrien-17-one	C00468
Ethanol; Ethyl alcohol; Methylcarbinol	C00469
Pectate; Pectic acid; alpha-D-Polygalacturonic acid; Poly(1,4-alpha-D-galacturonate); Poly(1,4-alpha-D-galacturonate)(n); (1,4-alpha-D-Galacturonide)n; [(1->4)-alpha-D-Galacturonosyl]n; De-esterified pectin	C00470
p-Benzoquinone; Quinone; Chinone; 2,5-Cyclohexadiene-1,4-dione; 1,4-Benzoquinone	C00472
Retinol; all-trans-Retinol; Vitamin A; Vitamin A1	C00473
Ribitol; Adonitol	C00474
Cytidine	C00475
D-Lyxose	C00476
Ecdysone	C00477
Propanal; Propionaldehyde	C00479
Pyrazole; 1,2-Diazole	C00481
Sinapate; Sinapic acid; 3,5-Dimethoxy-4-hydroxycinnamic acid	C00482
Tyramine; 2-(p-Hydroxyphenyl)ethylamine	C00483
Bilirubin	C00486
Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate	C00487
Formamide; Methanamide	C00488
Glutarate; Glutaric acid; Pentanedioic acid; 1,3-Propanedicarboxylic acid	C00489
Itaconate; Itaconic acid; Methylenesuccinic acid	C00490
L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid	C00491
Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose	C00492
Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid	C00493
(R)-Malate; D-Malate; D-Malic acid	C00497
ADP-glucose; ADP-alpha-D-glucose; Adenosine diphosphoglucose	C00498
Allantoate; Allantoic acid	C00499
Biliverdin; Biliverdin IX alpha	C00500
CDP-glucose; CDP-D-Glucose	C00501
D-Xylonate	C00502
Erythritol; Erythrol; Phycitol; Phycite; Erythrite	C00503
Folate; Pteroylglutamic acid; Folic acid	C00504
Gentamicin	C00505
L-Cysteate; L-Cysteic acid; 3-Sulfoalanine; 2-Amino-3-sulfopropionic acid	C00506
L-Rhamnose; 6-Deoxy-L-mannose; L-Mannomethylose; L-Rhamnopyranose	C00507
L-Ribulose; L-erythro-Pentulose; L-Arabinoketose; L-Arabinulose; L-Riboketose	C00508
Naringenin; 4',5,7-Trihydroxyflavanone; (2S)-Naringenin; (-)-(2S)-Naringenin	C00509
Acrylic acid; Propenoate; Acrylate; 2-Propenoic acid; Vinylformic acid	C00511
Benzoyl-CoA; S-Benzoyl-coenzyme A	C00512
CDP-glycerol	C00513
D-Mannonate	C00514
D-Ornithine	C00515
Hexadecanal; Palmitaldehyde	C00517
Hyaluronate; Hyaluronic acid; Hyaluronan; [beta-N-Acetyl-D-glucosaminyl(1,4)beta-D-glucuronosyl(1,3)]n	C00518
Hypotaurine; 2-Aminoethanesulfinic acid	C00519
(R)-Pantoate; Pantoate; Pantoic acid	C00522
Androsterone; 3alpha-Hydroxy-5alpha-androstan-17-one	C00523
D-Tryptophan	C00525
Deoxyuridine; 2-Deoxyuridine; 2'-Deoxyuridine	C00526
Glutaryl-CoA	C00527
Hydroquinone; p-Benzenediol; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol	C00530
Itaconyl-CoA	C00531
L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol	C00532
Nitric oxide; NO; Nitrogen monoxide	C00533
Pyridoxamine; PM	C00534
Testosterone; 17beta-Hydroxy-4-androsten-3-one	C00535
Triphosphate; Triphosphoric acid; Tripolyphosphate; Inorganic triphosphate	C00536
2-Oxoaldehyde	C00538
Aromatic acid; Aromatic carboxylic acid	C00539
Cinnamoyl-CoA; S-(Cinnamoyl) coenzyme A	C00540
Cob(II)alamin; Vitamin B12r	C00541
Cystathionine	C00542
Dimethylamine; (CH3)2NH	C00543
Homogentisate; Homogentisic acid; 2,5-Dihydroxyphenylacetic acid; 2,5-Dihydroxyphenylacetate	C00544
L-Arabinonate	C00545
Methylglyoxal; Pyruvaldehyde; Pyruvic aldehyde; 2-Ketopropionaldehyde; 2-Oxopropanal	C00546
L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol	C00547
Phenyl acetate; Acetylphenol; Acetic acid,phenyl ester	C00548
Sphingomyelin	C00550
meso-Tartaric acid; meso-Tartrate	C00552
(+)-Neomenthol	C00553
4-Aminobutyraldehyde; 4-Aminobutanal	C00555
Benzyl alcohol; alpha-Hydroxytoluene; Benzenemethanol; Phenylmethanol; Phenylcarbinol; Hydroxymethylbenzene	C00556
Cyclopentanone	C00557
D-Tagaturonate; D-Tagaturonic acid	C00558
Deoxyadenosine; 2'-Deoxyadenosine	C00559
Mandelonitrile; Benzaldehyde cyanohydrin; (R)-Mandelonitrile	C00561
Phosphoprotein	C00562
Trimethylamine; (CH3)3N; N,N-Dimethylmethanamine	C00565
(3S)-Citryl-CoA	C00566
4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate	C00568
CDP-ethanolamine; Cytidine diphosphate ethanolamine	C00570
Cyclohexylamine; Cyclohexanamine	C00571
Keratan sulfate; Kerato sulfate; Keratan 6'-sulfate; Keratan; Kerato 6'-sulfate	C00573
3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP	C00575
Betaine aldehyde	C00576
D-Glyceraldehyde	C00577
Dihydrolipoamide; Dihydrothioctamide	C00579
Dimethyl sulfide; Methyl sulfide; Methyl thioether	C00580
Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid	C00581
Phenylacetyl-CoA; Phenylacetyl coenzyme A	C00582
Propane-1,2-diol; 1,2-Propanediol; Propylene glycol	C00583
Prostaglandin E2; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprosta-5,13-dienoate; (5Z,13E)-(15S)-11alpha,15-Dihydroxy-9-oxoprost-13-enoate; Dinoprostone; PGE2	C00584
Protein tyrosine; [Protein]-L-tyrosine	C00585
2-Deoxy-D-glucose; 2-Deoxy-D-arabino-hexose; D-arabino-2-Deoxyhexose	C00586
3-Hydroxybenzoate; 3-Hydroxybenzoic acid; m-Hydroxybenzoic acid	C00587
Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine	C00588
Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol; trans-Coniferyl alcohol	C00590
N-Acylneuraminate	C00591
Sulfoacetaldehyde; 2-Sulfoacetaldehyde	C00593
2-Hydroxy-2,4-pentadienoate; cis-2-Hydroxypenta-2,4-dienoate; Oxopent-4-enoate; 2-Oxopent-4-enoate; 2-Hydroxypenta-2,4-dienoate	C00596
Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one	C00599
Phenylacetaldehyde; alpha-Tolualdehyde	C00601
beta-D-Galactoside	C00602
(S)-Ureidoglycolate; (-)-Ureidoglycolate	C00603
2,3-Dehydroacyl-CoA; Dehydroacyl-CoA	C00605
3-Sulfino-L-alanine; L-Cysteinesulfinic acid; 3-Sulphino-L-alanine; 3-Sulfinoalanine	C00606
Long-chain aldehyde	C00609
N-Acetyllactosamine; beta-D-Galactosyl-1,4-N-acetyl-D-glucosamine; beta-D-Galactosyl-1,4-N-acetyl-beta-D-glucosamine	C00611
Protein-L-arginine; Peptide L-arginine	C00613
Protein glutamate; Protein L-glutamate	C00614
Protein histidine; Protein L-histidine; [Protein]-L-histidine	C00615
Quercetin 3-sulfate	C00616
UDP-D-galacturonate; UDPgalacturonate; UDP-alpha-D-galacturonate	C00617
3-Dehydro-L-gulonate	C00618
3-Oxo-Delta4-steroid	C00619
alpha-D-Ribose 1-phosphate; Ribose 1-phosphate; D-Ribose 1-phosphate	C00620
Dolichyl diphosphate; Dolichol diphosphate	C00621
sn-Glycerol 1-phosphate; sn-Gro-1-P; L-Glycerol 1-phosphate	C00623
N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	C00624
N-Acyl-D-mannosamine	C00625
Pyridoxine phosphate; Pyridoxine 5-phosphate; Pyridoxine 5'-phosphate; Pyridoxol 5'-phosphate	C00627
2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate	C00628
2-Methylpropanoyl-CoA; 2-Methylpropionyl-CoA; Isobutyryl-CoA	C00630
2-Phospho-D-glycerate; D-Glycerate 2-phosphate; 2-Phospho-(R)-glycerate	C00631
3-Hydroxyanthranilate; 3-Hydroxyanthranilic acid	C00632
4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde	C00633
Chondroitin 4-sulfate; Chondroitin sulfate A; Chondroitin 4'-sulfate	C00634
Chondroitin 6-sulfate; Chondroitin sulfate C; Chondroitin 6'-sulfate	C00635
D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate	C00636
Indole-3-acetaldehyde; 2-(Indol-3-yl)acetaldehyde; Indoleacetaldehyde	C00637
Long-chain fatty acid; Higher fatty acid	C00638
Prostaglandin F2alpha; (5Z,13E)-(15S)-9alpha,11alpha,15-Trihydroxyprosta-5,13-dienoate; (+)-Prostaglandin F2a; 7-[3,5-Dihydroxy-2-(3-hydroxy-1-octenyl)cyclopentyl]-5-heptenoic acid; 9a,11a-PGF2; Amoglandin; Cyclosin; Dinoprost; Enzaprost; Enzaprost F; Panacelan; PGF2a; 9,11,15-Trihydroxy-(5Z,9a,11a,13E,15S)-prosta-5,13-dien-1-oic acid; Prostaglandin F2a; Prostin F 2 alpha; Protamodin; U 14583; (5Z,9alpha,11alpha,13E,15S)-9,11,15-Trihydroxyprosta-5,13-dienoate	C00639
(3S)-3-Hydroxyacyl-CoA; (S)-3-Hydroxyacyl-CoA	C00640
1,2-Diacyl-sn-glycerol; 1,2-Diacylglycerol; L-1,2-Diacylglycerol	C00641
4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid	C00642
5-Hydroxy-L-tryptophan; Oxitriptan	C00643
D-Mannitol 1-phosphate	C00644
N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose	C00645
Pyridoxamine phosphate; Pyridoxamine 5-phosphate; Pyridoxamine 5'-phosphate	C00647
4-Hydroxymandelonitrile	C00650
4-Methylene-L-glutamate	C00651
D-Arabinono-1,4-lactone	C00652
Poly(ribitol phosphate); Poly-1,5-ribitol phosphate; (Ribitol phosphate)n; (Ribitol phosphate)n+1	C00653
Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate	C00655
trans-2,3-Dehydroacyl-CoA; trans-2-Enoyl-CoA; trans-2,3-Didehydroacyl-CoA; trans-Didehydroacyl-CoA; (2E)-2-Enoyl-CoA	C00658
Reduced adrenal ferredoxin; Reduced adrenodoxin	C00662
beta-D-Glucose 1-phosphate	C00663
5-Formiminotetrahydrofolate; 5-Formimidoyltetrahydrofolate	C00664
beta-D-Fructose 2,6-bisphosphate; D-Fructose 2,6-bisphosphate	C00665
LL-2,6-Diaminoheptanedioate; LL-2,6-Diaminopimelate; LL-2,6-Diaminopimelic acid	C00666
Oxidized adrenal ferredoxin; Oxidized adrenodoxin	C00667
alpha-D-Glucose 6-phosphate	C00668
gamma-L-Glutamyl-L-cysteine; L-gamma-Glutamylcysteine; 5-L-Glutamyl-L-cysteine; gamma-Glutamylcysteine	C00669
sn-Glycero-3-phosphocholine; Glycerophosphocholine	C00670
(S)-3-Methyl-2-oxopentanoic acid; (S)-3-Methyl-2-oxopentanoate; (3S)-3-Methyl-2-oxopentanoic acid; (3S)-3-Methyl-2-oxopentanoate	C00671
2-Deoxy-D-ribose 1-phosphate; 2-Deoxy-alpha-D-ribose 1-phosphate	C00672
2-Deoxy-D-ribose 5-phosphate	C00673
5alpha-Androstane-3,17-dione; Androstanedione	C00674
Deoxynucleoside 3'-phosphate; 2'-Deoxyribonucleoside 3'-phosphate	C00675
Deoxynucleoside 5'-phosphate; 2'-Deoxynucleoside 5'-phosphate; 2'-Deoxyribonucleoside 5'-phosphate; 2'-Deoxynucleoside 5'-monophosphate; 2'-Deoxyribonucleoside 5'-monophosphate	C00676
Deoxynucleoside triphosphate; 2'-Deoxyribonucleoside 5'-triphosphate; 2'-Deoxyribonucleoside triphosphate	C00677
5-Dehydro-4-deoxy-D-glucarate; (2R,3S)-2,3-Dihydroxy-5-oxohexanedioate	C00679
meso-2,6-Diaminoheptanedioate; meso-2,6-Diaminopimelate; meso-2,6-Diaminopimelic acid; meso-Diaminoheptanedioate	C00680
1-Acyl-sn-glycerol 3-phosphate; 2-Lysophosphatidate; Lysophosphatidate; Lysophosphatidic acid	C00681
2-Hydroxymuconate semialdehyde; 2-Hydroxymuconic semialdehyde; 2-Hydroxymuconate-6-semialdehyde	C00682
(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA	C00683
2-Dehydro-3-deoxy-L-arabinonate; 2-Dehydro-3-deoxy-L-pentonate	C00684
3-Oxoacyl-[acyl-carrier protein]	C00685
N-Acyl-D-mannosamine 6-phosphate	C00686
dTDP-4-dehydro-beta-L-rhamnose; dTDP-4-dehydro-6-deoxy-beta-L-mannose; dTDP-4-oxo-6-deoxy-L-mannose; dTDP-4-oxo-L-rhamnose	C00688
alpha,alpha'-Trehalose 6-phosphate; Trehalose 6-phosphate	C00689
2,4,6/3,5-Pentahydroxycyclohexanone; scyllo-Inosose; 2-Inosose	C00691
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate; UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate	C00692
trans-2,3-Dehydroacyl-[acyl-carrier protein]; trans-2-Enoyl-[acyl-carrier protein]	C00693
beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R; beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-R; beta-D-Galactosyl-(1->4)-N-acetyl-D-glucosaminyl-R	C00694
Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanic acid	C00695
Prostaglandin D2; (5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; (5Z,13E,15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; PGD2	C00696
Nitrogen; N2	C00697
Cl-; Chloride; Chloride ion	C00698
XTP; Xanthosine 5'-triphosphate	C00700
Base; Nucleobase; Base1; Base2	C00701
Mercury(2+); Hg2+; Mercuric ion	C00703
O2.-; Superoxide anion; O2-	C00704
dCDP; 2'-Deoxycytidine diphosphate; 2'-Deoxycytidine 5'-diphosphate	C00705
Amine; Primary amine; Substituted amine	C00706
(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid	C00712
Pectin; Poly(1,4-alpha-D-galacturonide)	C00714
Pterin; 2-Amino-4-oxopteridine; 2-Amino-4-hydroxypteridine	C00715
Serine; 2-Amino-3-hydroxypropionic acid; 3-Hydroxyalanine	C00716
Alditol; Glycitol; Sugar alcohol	C00717
Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan	C00718
Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate	C00719
RBr	C00720
Dextrin	C00721
Nitrile; R-CN	C00726
Orcinol; 5-Methyl-1,3-benzenediol; 5-Methylresorcinol; 3,5-Toluenediol; 3,5-Dihydroxytoluene	C00727
Tropine; 3alpha-Tropanol	C00729
Chitosan; beta-1,4-Poly-D-glucosamine	C00734
Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; Reichstein's substance M	C00735
Cysteine; 2-Amino-3-mercaptopropionic acid	C00736
D-Aldose; D-Aldose1; D-Aldose2	C00737
D-Hexose; Hexose	C00738
D-Lysine; D-2,6-Diaminohexanoic acid	C00739
D-Serine	C00740
Diacetyl; Biacetyl; Dimethylglyoxal; 2,3-Butanedione	C00741
Fluoride; F-; Fluoride ion	C00742
Macrocin; Tylosin C	C00744
Pyridine; Azabenzene	C00747
Siroheme	C00748
Spermine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine	C00750
Squalene; Spinacene; Supraene	C00751
4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde	C00755
1-Octanol	C00756
Berberine; Umbellatine	C00757
Bergaptol; 5-Hydroxypsoralen; 5-Hydroxyfuranocoumarin	C00758
Caldesmon	C00759
Cellulose; (1,4-beta-D-Glucosyl)n; (1,4-beta-D-Glucosyl)n+1; (1,4-beta-D-Glucosyl)n-1; 1,4-beta-D-Glucan; Microcrystalline cellulose	C00760
Coniferin	C00761
Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substance Fa	C00762
D-Proline	C00763
D-Sorbose; D-xylo-Hexulose	C00764
Flavanone; 2,3-Dihydroflavone	C00766
L-Idonate	C00770
Mevaldate; Mevaldic acid	C00772
Phloretin	C00774
Rhodopsin; Visual purple	C00778
Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine	C00780
Tropinone; 3-Tropanone	C00783
Urocanate; Urocanic acid	C00785
(-)-Vestitone; Vestitone	C00786
tRNA(Tyr)	C00787
L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol	C00788
CDP-ribitol; CDP-L-ribitol; CDP 5-ester with D-ribitol	C00789
Creatinine; 1-Methylglycocyamidine	C00791
D-Arginine; D-2-Amino-5-guanidinovaleric acid	C00792
D-Cysteine; D-Amino-3-mercaptopropionic acid	C00793
D-Sorbitol; D-Glucitol; L-Gulitol; Sorbitol	C00794
D-Tagatose; lyxo-Hexulose	C00795
Ethylamine	C00797
Formyl-CoA	C00798
L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid	C00800
Nucleoside	C00801
Oxalureate; Oxaluric acid; Monooxalylurea; Oxalurate; N-Carbamoyl-2-oxoglycine	C00802
Pentanoate; Valerate; Pentanoic acid; Valeric acid; Valerianic acid; n-Pentanoate; n-Valeric acid	C00803
Propynoate; Propiolic acid; Acetylenecarboxylic acid; Acetylenemonocarboxylate	C00804
Salicylate; o-Hydroxybenzoic acid; Salicylic acid	C00805
(+)-Camphor; d-Camphor	C00808
(-)-Camphor	C00809
(R)-Acetoin; (R)-2-Acetoin; (R)-3-Hydroxy-2-butanone; (R)-Dimethylketol; (R)-3-Hydroxybutan-2-one	C00810
4-Coumarate; p-Coumaric acid; trans-4-Hydroxycinnamate; trans-p-Hydroxycinnamate; 4-Hydroxycinnamic acid; 4-Hydroxycinnamate	C00811
Alkyl thiol	C00812
Barbiturate; Barbituric acid; Malonylurea	C00813
Biochanin A	C00814
Citramalate; Citramalic acid; alpha-Hydroxypyrotartaric acid; 2-Methylmalic acid	C00815
D-Altronate	C00817
D-Glucarate; D-Glucaric acid; L-Gularic acid; D-Saccharic acid; D-Glucosaccharic acid; Glucaric acid; Glucarate	C00818
D-Glutamine; D-2-Aminoglutaramic acid	C00819
D-Threonine; D-2-Amino-3-hydroxybutyric acid	C00820
DNA adenine; Adenine in DNA	C00821
Dopaquinone	C00822
1-Hexadecanol; Hexadecanol; Cetyl alcohol; Palmityl alcohol; 16-Hexadecanol	C00823
Iron-sulfur; Iron-sulfur cluster	C00824
Kanamycin B; Bekanamycin; Nebramycin factor 5	C00825
L-Arogenate; L-Arogenic acid; Pretyrosine	C00826
Lactoyl-CoA	C00827
Menaquinone; Vitamin K2	C00828
Oxomalonate; Oxomalonic acid; Ketomalonic acid; Mesoxalic acid	C00830
Pantetheine; (R)-Pantetheine	C00831
Sepiapterin	C00835
Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane	C00836
Tropomyosin; Tropomyosin serine; Unphosphorylated tropomyosin	C00839
Xanthotoxol; 8-Hydroxypsoralen; 8-Hydroxyfuranocoumarin	C00841
dTDP-glucose; dTDP-D-glucose; dTDP-alpha-D-glucose	C00842
(-)-Menthone; l-Menthone; p-Menthan-3-one	C00843
Prunasin; (R)-Prunasin	C00844
2-Furoyl-CoA	C00845
3-Oxoadipate; 3-Oxoadipic acid; 3-Keto-adipate	C00846
4-Pyridoxate; 4-Pyridoxic acid	C00847
6-Oxocineole; (1R,4S)-1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octan-6-one; 2-Oxo-1,8-cineole	C00848
Aryl sulfate; Phenol sulfate	C00850
Chlorogenate; Chlorogenic acid; Caffeoyl quinic acid; trans-5-O-Caffeoyl-D-quinate	C00852
Cob(I)alamin; Cbl; Vitamin B12s	C00853
Cyclohexanol; Hexalin; Hexahydrophenol; Cyclohexan-1-ol	C00854
D-Methionine; D-2-Amino-4-(methylthio)butyric acid	C00855
DNA cytosine; Cytosine (in DNA)	C00856
Deamino-NAD+; Deamido-NAD+; Deamido-NAD; Nicotinic acid adenine dinucleotide	C00857
L-Histidinol	C00860
L-Rhamnulose; 6-Deoxy-L-fructose	C00861
Methanofuran; Carbon dioxide reduction factor	C00862
Monoterpenol	C00863
Pantothenate; Pantothenic acid; (R)-Pantothenate	C00864
tRNA uridine; Uracil in tRNA	C00868
2-Oxooctadecanoic acid; 2-Oxostearate	C00869
4-Nitrophenol; p-Nitrophenol; PNP; Niphen; 4-Hydroxynitrobenzene	C00870
Aminomalonate; Aminomalonic acid; 2-Aminomalonic acid	C00872
Coenzyme F420; Oxidized coenzyme F420	C00876
Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA	C00877
D-Arabinonate; D-Arabinonic acid	C00878
D-Galactarate; D-Mucic acid; D-Galactaric acid; Galactaric acid; Galactarate; Mucic acid	C00879
D-Galactonate; D-Galactonic acid	C00880
Deoxycytidine; 2'-Deoxycytidine	C00881
Dephospho-CoA; Dephosphocoenzyme A; 3'-Dephospho-CoA	C00882
Isochorismate; Isochorismic acid	C00885
L-Alanyl-tRNA; L-Alanyl-tRNA(Ala)	C00886
Nitrous oxide; Dinitrogen monoxide; Dinitrogen oxide; N2O	C00887
Pentanoyl-CoA; Valeryl-coenzyme A	C00888
Pregnan-21-al	C00891
Pregnan-21-ol; 5-beta-Pregnan-21-ol	C00892
Propenoyl-CoA; Acryloyl-CoA; Acrylyl-CoA	C00894
alpha-Maltose; alpha-Malt sugar	C00897
